Id,Country,Sampling date,Penicillin resistance,Macrolide resistance,Type
Pnc_444,South Africa,2003-03-21,Sensitive,Sensitive,B
Pnc_445,USA,2006-11-01,Resistant,Resistant,B
Pnc_446,South Africa,2012-05-19,Resistant,Sensitive,A
Pnc_447,South Africa,2013-04-26,Resistant,Sensitive,A
Pnc_448,South Africa,2016-01-20,Sensitive,Sensitive,A
Pnc_449,USA,2016-01-11,Sensitive,Sensitive,B
Pnc_450,USA,2010-08-26,Resistant,Resistant,B
Pnc_451,South Africa,2002-08-23,Resistant,Sensitive,A
Pnc_452,South Africa,2006-06-14,Resistant,Sensitive,B
Pnc_453,South Africa,2013-10-17,Sensitive,Sensitive,A
Pnc_454,USA,2014-03-16,Sensitive,Resistant,B
Pnc_455,South Africa,2008-10-20,Resistant,Sensitive,B
Pnc_456,USA,2008-07-13,Resistant,Resistant,B
Pnc_457,South Africa,2016-12-11,Resistant,Sensitive,A
Pnc_458,USA,2009-03-31,Sensitive,Sensitive,A
Pnc_459,South Africa,2020-04-01,Resistant,Sensitive,A
Pnc_460,South Africa,2009-03-20,Resistant,Sensitive,A
Pnc_461,South Africa,2017-12-27,Resistant,Sensitive,A
Pnc_462,USA,2003-07-13,Sensitive,Resistant,A
Pnc_463,South Africa,2016-04-03,Sensitive,Sensitive,B
Pnc_464,USA,2017-01-24,Sensitive,Sensitive,B
Pnc_465,USA,2007-09-29,Sensitive,Sensitive,B
Pnc_466,USA,2010-07-21,Resistant,Sensitive,B
Pnc_467,South Africa,2004-08-14,Resistant,Sensitive,A
Pnc_468,South Africa,2011-06-08,Sensitive,Sensitive,B
Pnc_469,South Africa,2015-10-03,Resistant,Sensitive,B
Pnc_470,USA,2008-03-03,Sensitive,Resistant,B
Pnc_471,South Africa,2005-10-29,Sensitive,Sensitive,A
Pnc_472,USA,2019-10-11,Sensitive,Sensitive,B
Pnc_473,South Africa,2003-07-15,Resistant,Sensitive,A
Pnc_474,USA,2013-06-02,Sensitive,Sensitive,B
Pnc_475,USA,2009-05-28,Sensitive,Sensitive,B
Pnc_476,USA,2008-01-05,Sensitive,Resistant,B
Pnc_477,South Africa,2020-07-06,Resistant,Sensitive,A
Pnc_478,USA,2014-07-31,Sensitive,Resistant,B
Pnc_479,South Africa,2009-10-28,Resistant,Resistant,A
Pnc_480,South Africa,2020-01-05,Resistant,Sensitive,B
Pnc_481,South Africa,2007-11-19,Resistant,Resistant,A
Pnc_482,USA,2017-02-26,Sensitive,Resistant,B
Pnc_483,USA,2012-01-02,Sensitive,Sensitive,B
Pnc_484,USA,2013-10-05,Sensitive,Resistant,B
Pnc_485,USA,2007-03-14,Sensitive,Sensitive,A
Pnc_486,USA,2009-10-02,Sensitive,Sensitive,A
Pnc_487,South Africa,2015-09-05,Sensitive,Sensitive,B
Pnc_488,South Africa,2000-02-13,Sensitive,Sensitive,A
Pnc_489,South Africa,2002-04-26,Resistant,Sensitive,B
Pnc_490,South Africa,2008-02-18,Sensitive,Sensitive,B
Pnc_491,South Africa,2010-02-25,Sensitive,Sensitive,B
Pnc_492,South Africa,2017-03-17,Resistant,Sensitive,A
Pnc_493,South Africa,2018-12-24,Resistant,Sensitive,A
Pnc_494,USA,2019-09-10,Sensitive,Sensitive,B
Pnc_495,USA,2009-01-10,Sensitive,Resistant,A
Pnc_496,South Africa,2009-08-11,Resistant,Sensitive,A
Pnc_497,South Africa,2010-03-03,Sensitive,Sensitive,B
Pnc_498,USA,2008-07-14,Sensitive,Resistant,A
Pnc_499,South Africa,2018-05-24,Sensitive,Sensitive,A
Pnc_500,South Africa,2007-11-24,Resistant,Sensitive,A
Pnc_501,USA,2019-05-27,Sensitive,Sensitive,B
Pnc_502,USA,2011-10-29,Sensitive,Sensitive,B
Pnc_503,USA,2007-07-11,Sensitive,Sensitive,B
Pnc_504,South Africa,2013-01-13,Resistant,Sensitive,B
Pnc_505,South Africa,2006-04-20,Sensitive,Sensitive,B
Pnc_506,USA,2012-01-10,Sensitive,Sensitive,B
Pnc_507,South Africa,2020-12-15,Sensitive,Sensitive,B
Pnc_508,South Africa,2013-08-05,Sensitive,Sensitive,B
Pnc_509,South Africa,2001-11-13,Sensitive,Sensitive,B
Pnc_510,USA,2005-07-04,Sensitive,Resistant,B
Pnc_511,USA,2016-03-02,Sensitive,Resistant,B
Pnc_512,USA,2003-07-21,Sensitive,Resistant,A
Pnc_513,USA,2019-01-08,Sensitive,Sensitive,B
Pnc_514,South Africa,2003-06-20,Sensitive,Resistant,B
Pnc_515,USA,2004-02-20,Sensitive,Resistant,A
Pnc_516,USA,2006-10-03,Sensitive,Sensitive,B
Pnc_517,South Africa,2014-02-05,Resistant,Resistant,A
Pnc_518,South Africa,2004-10-21,Resistant,Sensitive,B
Pnc_519,South Africa,2012-11-12,Resistant,Sensitive,B
Pnc_520,USA,2006-06-24,Resistant,Sensitive,A
Pnc_521,USA,2000-02-29,Sensitive,Resistant,A
Pnc_522,USA,2004-08-07,Sensitive,Resistant,B
Pnc_523,South Africa,2017-08-17,Sensitive,Sensitive,A
Pnc_524,South Africa,2007-10-27,Resistant,Sensitive,B
Pnc_525,South Africa,2018-07-31,Sensitive,Sensitive,A
Pnc_526,South Africa,2010-02-02,Sensitive,Sensitive,B
Pnc_527,South Africa,2020-01-22,Sensitive,Sensitive,A
Pnc_528,USA,2015-03-30,Sensitive,Resistant,A
Pnc_529,USA,2010-11-12,Sensitive,Sensitive,B
Pnc_530,South Africa,2005-08-18,Resistant,Sensitive,A
Pnc_531,USA,2012-03-20,Sensitive,Resistant,B
Pnc_532,USA,2005-05-08,Sensitive,Sensitive,B
Pnc_533,South Africa,2013-12-31,Sensitive,Sensitive,B
Pnc_534,South Africa,2005-06-06,Sensitive,Sensitive,A
Pnc_535,South Africa,2013-12-28,Resistant,Sensitive,B
Pnc_536,South Africa,2010-07-18,Resistant,Sensitive,B
Pnc_537,South Africa,2010-06-11,Resistant,Sensitive,A
Pnc_538,USA,2016-11-07,Sensitive,Sensitive,B
Pnc_539,South Africa,2016-12-01,Resistant,Sensitive,B
Pnc_540,USA,2010-05-27,Sensitive,Sensitive,B
Pnc_541,South Africa,2016-06-02,Resistant,Resistant,B
Pnc_542,South Africa,2015-12-05,Resistant,Resistant,B
Pnc_543,USA,2006-08-18,Sensitive,Resistant,A
Pnc_544,South Africa,2006-04-04,Resistant,Sensitive,A
Pnc_545,USA,2003-09-17,Sensitive,Sensitive,A
Pnc_546,South Africa,2019-06-11,Sensitive,Sensitive,B
Pnc_547,South Africa,2004-07-15,Sensitive,Sensitive,B
Pnc_548,South Africa,2011-06-25,Resistant,Sensitive,B
Pnc_549,South Africa,2004-08-19,Sensitive,Sensitive,A
Pnc_550,USA,2011-02-18,Sensitive,Sensitive,B
Pnc_551,South Africa,2018-07-02,Resistant,Sensitive,A
Pnc_552,USA,2018-07-09,Sensitive,Sensitive,B
Pnc_553,USA,2000-05-05,Sensitive,Resistant,A
Pnc_554,USA,2020-12-23,Sensitive,Sensitive,B
Pnc_555,USA,2020-01-18,Sensitive,Sensitive,B
Pnc_556,South Africa,2011-05-02,Sensitive,Sensitive,A
Pnc_557,South Africa,2007-03-25,Resistant,Sensitive,A
Pnc_558,South Africa,2003-01-19,Resistant,Resistant,A
Pnc_559,USA,2007-02-01,Sensitive,Sensitive,A
Pnc_560,South Africa,2015-12-27,Sensitive,Resistant,A
Pnc_561,South Africa,2001-07-01,Resistant,Sensitive,A
Pnc_562,South Africa,2011-02-02,Sensitive,Sensitive,B
Pnc_563,South Africa,2010-12-31,Sensitive,Sensitive,A
Pnc_564,South Africa,2011-11-18,Sensitive,Sensitive,A
Pnc_565,South Africa,2020-09-29,Resistant,Resistant,A
Pnc_566,South Africa,2019-06-25,Sensitive,Sensitive,A
Pnc_567,South Africa,2015-03-12,Sensitive,Sensitive,A
Pnc_568,USA,2007-06-02,Resistant,Resistant,A
Pnc_569,USA,2001-11-08,Sensitive,Resistant,A
Pnc_570,South Africa,2017-08-26,Resistant,Sensitive,B
Pnc_571,USA,2014-02-04,Sensitive,Resistant,B
Pnc_572,South Africa,2009-05-08,Sensitive,Sensitive,A
Pnc_573,USA,2019-12-08,Sensitive,Sensitive,B
Pnc_574,USA,2015-08-24,Sensitive,Sensitive,B
Pnc_575,South Africa,2008-06-06,Resistant,Sensitive,B
Pnc_576,USA,2002-02-04,Sensitive,Sensitive,A
Pnc_577,USA,2005-08-27,Sensitive,Sensitive,A
Pnc_578,South Africa,2011-04-10,Resistant,Resistant,A
Pnc_579,USA,2015-05-24,Sensitive,Sensitive,B
Pnc_580,South Africa,2002-02-06,Sensitive,Sensitive,A
Pnc_581,South Africa,2002-06-18,Sensitive,Sensitive,A
Pnc_582,USA,2013-12-14,Sensitive,Resistant,B
Pnc_583,South Africa,2009-11-25,Resistant,Sensitive,A
Pnc_584,South Africa,2018-11-09,Sensitive,Sensitive,A
Pnc_585,South Africa,2011-12-31,Resistant,Sensitive,B
Pnc_586,USA,2002-03-07,Sensitive,Sensitive,B
Pnc_587,USA,2007-06-11,Sensitive,Sensitive,B
Pnc_588,South Africa,2000-09-03,Sensitive,Sensitive,B
Pnc_589,USA,2019-11-19,Sensitive,Resistant,B
Pnc_590,South Africa,2006-04-05,Resistant,Sensitive,B
Pnc_591,South Africa,2002-11-02,Sensitive,Sensitive,B
Pnc_592,USA,2018-12-09,Resistant,Resistant,B
Pnc_593,South Africa,2009-03-16,Sensitive,Sensitive,A
Pnc_594,South Africa,2000-02-16,Sensitive,Sensitive,A
Pnc_595,South Africa,2014-03-08,Resistant,Sensitive,A
Pnc_596,USA,2015-02-17,Sensitive,Resistant,B
Pnc_597,USA,2004-08-23,Sensitive,Sensitive,B
Pnc_598,South Africa,2003-01-17,Sensitive,Sensitive,A
Pnc_599,South Africa,2015-04-11,Sensitive,Sensitive,A
Pnc_600,USA,2001-06-03,Sensitive,Resistant,A
Pnc_601,USA,2007-09-19,Sensitive,Sensitive,B
Pnc_602,USA,2015-02-01,Sensitive,Resistant,B
Pnc_603,South Africa,2001-12-08,Sensitive,Sensitive,B
Pnc_604,South Africa,2019-11-06,Sensitive,Sensitive,A
Pnc_605,USA,2005-12-25,Resistant,Resistant,B
Pnc_606,South Africa,2004-04-17,Sensitive,Sensitive,B
Pnc_607,South Africa,2010-09-22,Sensitive,Sensitive,A
Pnc_608,USA,2009-09-06,Sensitive,Sensitive,A
Pnc_609,USA,2004-11-28,Sensitive,Sensitive,B
Pnc_610,USA,2012-12-05,Resistant,Sensitive,B
Pnc_611,USA,2016-03-04,Sensitive,Resistant,B
Pnc_612,USA,2020-03-07,Resistant,Sensitive,B
Pnc_613,USA,2005-07-09,Sensitive,Sensitive,B
Pnc_614,South Africa,2012-11-04,Sensitive,Sensitive,B
Pnc_615,South Africa,2018-03-06,Sensitive,Sensitive,A
Pnc_616,USA,2009-01-24,Sensitive,Sensitive,B
Pnc_617,South Africa,2015-10-14,Resistant,Sensitive,A
Pnc_618,South Africa,2007-04-29,Sensitive,Sensitive,A
Pnc_619,South Africa,2020-09-02,Resistant,Sensitive,B
Pnc_620,South Africa,2010-01-15,Resistant,Sensitive,B
Pnc_621,South Africa,2018-05-08,Resistant,Sensitive,B
Pnc_622,USA,2003-09-04,Sensitive,Sensitive,A
Pnc_623,South Africa,2008-07-16,Sensitive,Sensitive,B
Pnc_624,South Africa,2001-11-06,Resistant,Sensitive,A
Pnc_625,USA,2000-05-19,Sensitive,Resistant,A
Pnc_626,USA,2004-04-25,Sensitive,Sensitive,B
Pnc_627,USA,2006-05-20,Resistant,Sensitive,A
Pnc_628,USA,2013-05-02,Sensitive,Sensitive,B
Pnc_629,USA,2003-02-11,Sensitive,Resistant,A
Pnc_630,South Africa,2014-02-07,Sensitive,Sensitive,B
Pnc_631,USA,2017-05-27,Sensitive,Resistant,B
Pnc_632,USA,2003-06-17,Sensitive,Resistant,B
Pnc_633,USA,2014-04-09,Sensitive,Sensitive,B
Pnc_634,South Africa,2011-03-16,Sensitive,Sensitive,A
Pnc_635,USA,2016-01-12,Sensitive,Sensitive,B
Pnc_636,South Africa,2000-08-26,Sensitive,Sensitive,A
Pnc_637,USA,2020-02-17,Sensitive,Resistant,B
Pnc_638,USA,2011-06-05,Resistant,Sensitive,B
Pnc_639,USA,2006-04-10,Sensitive,Resistant,B
Pnc_640,USA,2007-02-11,Resistant,Sensitive,B
Pnc_641,South Africa,2008-02-17,Sensitive,Sensitive,B
Pnc_642,South Africa,2013-07-20,Resistant,Sensitive,B
Pnc_643,South Africa,2009-08-25,Resistant,Sensitive,B
Pnc_644,South Africa,2015-07-10,Resistant,Sensitive,A
Pnc_645,USA,2018-06-17,Sensitive,Sensitive,B
Pnc_646,South Africa,2007-07-02,Resistant,Sensitive,A
Pnc_647,South Africa,2018-09-24,Resistant,Resistant,B
Pnc_648,USA,2010-01-05,Resistant,Resistant,B
Pnc_649,South Africa,2009-11-15,Resistant,Sensitive,B
Pnc_650,USA,2004-02-26,Sensitive,Resistant,B
Pnc_651,USA,2009-04-03,Resistant,Sensitive,A
Pnc_652,South Africa,2007-03-08,Resistant,Sensitive,A
Pnc_653,USA,2012-02-27,Sensitive,Resistant,B
Pnc_654,South Africa,2008-01-31,Sensitive,Sensitive,B
Pnc_655,USA,2012-06-03,Sensitive,Resistant,B
Pnc_656,South Africa,2019-05-06,Sensitive,Sensitive,B
Pnc_657,South Africa,2010-08-08,Sensitive,Sensitive,B
Pnc_658,South Africa,2008-10-23,Sensitive,Sensitive,B
Pnc_659,South Africa,2013-03-10,Resistant,Sensitive,A
Pnc_660,USA,2001-08-02,Sensitive,Sensitive,A
Pnc_661,South Africa,2014-12-11,Resistant,Sensitive,A
Pnc_662,USA,2000-09-07,Sensitive,Sensitive,A
Pnc_663,South Africa,2004-04-24,Resistant,Sensitive,A
Pnc_664,USA,2010-08-13,Sensitive,Resistant,B
Pnc_665,South Africa,2007-07-18,Sensitive,Sensitive,B
Pnc_666,South Africa,2020-02-26,Resistant,Sensitive,A
Pnc_667,South Africa,2020-10-27,Resistant,Sensitive,A
Pnc_668,South Africa,2016-03-31,Sensitive,Sensitive,B
Pnc_669,USA,2014-08-03,Sensitive,Sensitive,B
Pnc_670,USA,2006-04-30,Sensitive,Sensitive,B
Pnc_671,USA,2013-07-02,Sensitive,Sensitive,B
Pnc_672,South Africa,2014-05-15,Resistant,Sensitive,B
Pnc_673,USA,2020-12-20,Sensitive,Resistant,B
Pnc_674,South Africa,2007-02-20,Resistant,Resistant,A
Pnc_675,USA,2011-05-12,Sensitive,Sensitive,B
Pnc_676,South Africa,2002-12-29,Resistant,Resistant,A
Pnc_677,USA,2006-08-08,Sensitive,Sensitive,A
Pnc_678,USA,2013-02-25,Sensitive,Resistant,B
Pnc_679,USA,2009-12-02,Sensitive,Resistant,A
Pnc_680,USA,2020-06-20,Sensitive,Resistant,B
Pnc_681,USA,2008-09-25,Sensitive,Sensitive,A
Pnc_682,USA,2000-04-17,Sensitive,Sensitive,A
Pnc_683,USA,2007-05-20,Sensitive,Resistant,B
Pnc_684,South Africa,2001-04-13,Sensitive,Sensitive,A
Pnc_685,South Africa,2008-09-26,Resistant,Sensitive,A
Pnc_686,South Africa,2004-01-09,Sensitive,Sensitive,A
Pnc_687,South Africa,2017-07-26,Sensitive,Sensitive,A
Pnc_688,South Africa,2009-06-24,Sensitive,Sensitive,B
Pnc_689,South Africa,2008-07-11,Sensitive,Sensitive,A
Pnc_690,USA,2013-02-18,Sensitive,Resistant,B
Pnc_691,USA,2013-02-05,Sensitive,Sensitive,B
Pnc_692,South Africa,2004-04-30,Sensitive,Sensitive,B
Pnc_693,South Africa,2003-09-14,Sensitive,Sensitive,A
Pnc_694,South Africa,2008-11-02,Resistant,Sensitive,B
Pnc_695,USA,2004-05-16,Sensitive,Sensitive,A
Pnc_696,South Africa,2003-02-15,Sensitive,Sensitive,A
Pnc_697,USA,2000-08-08,Sensitive,Resistant,B
Pnc_698,USA,2003-11-22,Sensitive,Sensitive,A
Pnc_699,South Africa,2015-04-14,Sensitive,Sensitive,B
Pnc_700,South Africa,2000-05-26,Resistant,Sensitive,A
Pnc_701,South Africa,2000-12-01,Resistant,Sensitive,B
Pnc_702,USA,2008-05-27,Sensitive,Resistant,A
Pnc_703,USA,2010-09-21,Sensitive,Sensitive,B
Pnc_704,USA,2019-07-11,Sensitive,Sensitive,B
Pnc_705,USA,2012-08-24,Sensitive,Resistant,B
Pnc_706,South Africa,2020-12-12,Resistant,Sensitive,B
Pnc_707,USA,2003-01-28,Sensitive,Sensitive,B
Pnc_708,South Africa,2018-10-17,Resistant,Sensitive,A
Pnc_709,South Africa,2004-09-27,Resistant,Sensitive,B
Pnc_710,USA,2000-05-30,Sensitive,Resistant,B
Pnc_711,USA,2000-05-13,Sensitive,Sensitive,B
Pnc_712,South Africa,2012-08-07,Resistant,Sensitive,B
Pnc_713,South Africa,2014-07-04,Resistant,Resistant,A
Pnc_714,USA,2008-12-27,Sensitive,Resistant,B
Pnc_715,South Africa,2009-08-05,Sensitive,Sensitive,A
Pnc_716,South Africa,2002-08-04,Sensitive,Sensitive,B
Pnc_717,USA,2016-01-26,Sensitive,Resistant,B
Pnc_718,South Africa,2017-11-17,Sensitive,Sensitive,A
Pnc_719,South Africa,2000-09-01,Sensitive,Sensitive,B
Pnc_720,South Africa,2018-09-09,Sensitive,Sensitive,A
Pnc_721,USA,2009-03-27,Sensitive,Sensitive,B
Pnc_722,South Africa,2006-10-08,Resistant,Resistant,A
Pnc_723,USA,2001-10-31,Resistant,Sensitive,B
Pnc_724,South Africa,2008-05-24,Sensitive,Sensitive,A
Pnc_725,South Africa,2017-11-30,Resistant,Sensitive,A
Pnc_726,USA,2017-01-16,Sensitive,Sensitive,B
Pnc_727,USA,2003-04-30,Sensitive,Resistant,A
Pnc_728,USA,2009-08-04,Sensitive,Resistant,A
Pnc_729,USA,2007-04-15,Resistant,Sensitive,A
Pnc_730,South Africa,2012-10-21,Sensitive,Sensitive,A
Pnc_731,USA,2002-04-11,Sensitive,Resistant,A
Pnc_732,South Africa,2011-01-11,Sensitive,Sensitive,A
Pnc_733,USA,2006-11-26,Resistant,Sensitive,A
Pnc_734,South Africa,2011-06-28,Sensitive,Sensitive,A
Pnc_735,South Africa,2002-05-22,Sensitive,Sensitive,B
Pnc_736,South Africa,2018-04-17,Resistant,Sensitive,B
Pnc_737,USA,2012-04-11,Sensitive,Sensitive,B
Pnc_738,South Africa,2004-03-14,Sensitive,Sensitive,B
Pnc_739,USA,2003-07-06,Sensitive,Resistant,B
Pnc_740,South Africa,2003-01-14,Sensitive,Sensitive,B
Pnc_741,South Africa,2009-10-19,Sensitive,Sensitive,A
Pnc_742,South Africa,2003-11-09,Resistant,Sensitive,A
Pnc_743,South Africa,2005-07-19,Resistant,Sensitive,B
Pnc_744,USA,2017-12-05,Sensitive,Sensitive,B
Pnc_745,USA,2004-07-26,Sensitive,Resistant,A
Pnc_746,USA,2008-09-03,Sensitive,Sensitive,B
Pnc_747,USA,2008-01-26,Sensitive,Sensitive,B
Pnc_748,South Africa,2019-07-08,Resistant,Sensitive,A
Pnc_749,USA,2015-11-09,Resistant,Resistant,B
Pnc_750,South Africa,2015-04-29,Sensitive,Sensitive,A
Pnc_751,USA,2011-06-15,Sensitive,Resistant,B
Pnc_752,South Africa,2013-11-02,Sensitive,Sensitive,B
Pnc_753,South Africa,2006-01-05,Resistant,Sensitive,A
Pnc_754,South Africa,2008-06-01,Resistant,Sensitive,A
Pnc_755,South Africa,2004-01-05,Sensitive,Sensitive,B
Pnc_756,South Africa,2012-05-11,Resistant,Sensitive,B
Pnc_757,South Africa,2013-05-19,Sensitive,Sensitive,B
Pnc_758,USA,2010-01-03,Sensitive,Sensitive,B
Pnc_759,South Africa,2006-12-04,Resistant,Sensitive,A
Pnc_760,South Africa,2005-06-26,Resistant,Sensitive,B
Pnc_761,South Africa,2012-01-12,Resistant,Sensitive,A
Pnc_762,USA,2016-05-02,Sensitive,Resistant,B
Pnc_763,South Africa,2013-09-08,Resistant,Sensitive,A
Pnc_764,South Africa,2011-02-19,Sensitive,Sensitive,A
Pnc_765,USA,2004-01-12,Sensitive,Sensitive,B
Pnc_766,South Africa,2018-06-29,Sensitive,Sensitive,B
Pnc_767,South Africa,2013-06-25,Sensitive,Sensitive,A
Pnc_768,USA,2004-05-29,Sensitive,Sensitive,B
Pnc_769,USA,2006-11-19,Sensitive,Sensitive,A
Pnc_770,USA,2011-04-08,Resistant,Resistant,A
Pnc_771,South Africa,2009-06-17,Sensitive,Sensitive,A
Pnc_772,USA,2001-06-28,Sensitive,Sensitive,B
Pnc_773,USA,2007-08-06,Sensitive,Sensitive,B
Pnc_774,USA,2007-11-10,Sensitive,Resistant,B
Pnc_775,USA,2002-09-17,Sensitive,Resistant,A
Pnc_776,South Africa,2015-08-30,Resistant,Sensitive,B
Pnc_777,USA,2018-10-14,Sensitive,Resistant,B
Pnc_778,USA,2001-09-23,Sensitive,Resistant,A
Pnc_779,South Africa,2010-01-01,Resistant,Sensitive,B
Pnc_780,USA,2000-10-06,Sensitive,Resistant,B
Pnc_781,South Africa,2017-09-14,Sensitive,Resistant,B
Pnc_782,USA,2016-01-28,Sensitive,Resistant,B
Pnc_783,South Africa,2011-12-22,Sensitive,Sensitive,A
Pnc_784,USA,2004-06-09,Sensitive,Resistant,B
Pnc_785,USA,2007-05-05,Resistant,Resistant,B
Pnc_786,South Africa,2004-11-09,Sensitive,Sensitive,A
Pnc_787,South Africa,2017-11-18,Resistant,Sensitive,A
Pnc_788,USA,2009-04-09,Sensitive,Resistant,A
Pnc_789,South Africa,2013-03-01,Resistant,Sensitive,A
Pnc_790,USA,2006-01-19,Sensitive,Resistant,A
Pnc_791,South Africa,2009-06-16,Sensitive,Sensitive,B
Pnc_792,USA,2015-08-20,Sensitive,Resistant,B
Pnc_793,South Africa,2002-12-05,Sensitive,Sensitive,B
Pnc_794,South Africa,2007-01-20,Resistant,Sensitive,A
Pnc_795,USA,2014-02-28,Sensitive,Resistant,A
Pnc_796,USA,2004-09-28,Sensitive,Resistant,A
Pnc_797,USA,2018-07-18,Sensitive,Resistant,B
Pnc_798,South Africa,2001-11-16,Resistant,Sensitive,A
Pnc_799,USA,2016-09-01,Sensitive,Sensitive,A
Pnc_800,South Africa,2013-08-27,Sensitive,Sensitive,A
Pnc_801,USA,2009-09-12,Sensitive,Sensitive,B
Pnc_802,USA,2018-10-21,Sensitive,Resistant,B
Pnc_803,USA,2019-08-14,Sensitive,Sensitive,A
Pnc_804,South Africa,2019-08-15,Sensitive,Sensitive,A
Pnc_805,USA,2009-10-25,Sensitive,Sensitive,B
Pnc_806,South Africa,2010-06-21,Sensitive,Sensitive,A
Pnc_807,South Africa,2016-09-26,Sensitive,Sensitive,A
Pnc_808,USA,2001-03-15,Sensitive,Sensitive,A
Pnc_809,USA,2006-05-03,Sensitive,Sensitive,A
Pnc_810,USA,2015-10-20,Sensitive,Sensitive,B
Pnc_811,South Africa,2004-03-01,Resistant,Sensitive,A
Pnc_812,USA,2000-11-19,Sensitive,Sensitive,B
Pnc_813,South Africa,2005-06-07,Resistant,Sensitive,A
Pnc_814,USA,2006-01-01,Sensitive,Sensitive,A
Pnc_815,South Africa,2013-04-28,Resistant,Sensitive,B
Pnc_816,USA,2008-09-13,Sensitive,Resistant,A
Pnc_817,South Africa,2005-01-10,Sensitive,Sensitive,B
Pnc_818,South Africa,2012-07-12,Sensitive,Sensitive,B
Pnc_819,South Africa,2010-06-28,Sensitive,Sensitive,B
Pnc_820,South Africa,2005-02-12,Sensitive,Sensitive,B
Pnc_821,South Africa,2008-12-12,Sensitive,Sensitive,A
Pnc_822,USA,2016-12-18,Resistant,Resistant,B
Pnc_823,USA,2014-12-01,Sensitive,Resistant,B
Pnc_824,USA,2018-10-26,Sensitive,Sensitive,B
Pnc_825,USA,2007-01-23,Sensitive,Resistant,A
Pnc_826,USA,2016-08-19,Resistant,Resistant,B
Pnc_827,South Africa,2003-06-14,Resistant,Sensitive,A
Pnc_828,South Africa,2004-05-10,Resistant,Sensitive,A
Pnc_829,South Africa,2010-09-18,Resistant,Sensitive,A
Pnc_830,South Africa,2008-04-05,Sensitive,Sensitive,A
Pnc_831,South Africa,2011-09-16,Sensitive,Resistant,A
Pnc_832,USA,2008-01-07,Sensitive,Resistant,B
Pnc_833,USA,2013-07-29,Sensitive,Resistant,B
Pnc_834,USA,2010-12-03,Sensitive,Sensitive,A
Pnc_835,South Africa,2012-09-01,Resistant,Sensitive,B
Pnc_836,South Africa,2007-03-26,Sensitive,Sensitive,A
Pnc_837,South Africa,2007-08-19,Resistant,Sensitive,B
Pnc_838,South Africa,2002-11-13,Resistant,Resistant,A
Pnc_839,South Africa,2018-08-09,Sensitive,Resistant,A
Pnc_840,USA,2001-09-28,Sensitive,Resistant,A
Pnc_841,USA,2008-08-10,Sensitive,Sensitive,B
Pnc_842,South Africa,2011-09-26,Resistant,Sensitive,B
Pnc_843,South Africa,2006-04-13,Sensitive,Sensitive,B
Pnc_844,USA,2003-12-25,Sensitive,Sensitive,A
Pnc_845,USA,2019-09-21,Sensitive,Resistant,B
Pnc_846,South Africa,2004-01-18,Resistant,Sensitive,A
Pnc_847,USA,2005-08-31,Resistant,Resistant,A
Pnc_848,South Africa,2016-08-28,Resistant,Sensitive,B
Pnc_849,South Africa,2020-08-22,Sensitive,Sensitive,B
Pnc_850,USA,2005-01-31,Sensitive,Resistant,B
Pnc_851,USA,2008-11-04,Sensitive,Resistant,A
Pnc_852,South Africa,2014-07-01,Sensitive,Sensitive,B
Pnc_853,USA,2000-08-31,Sensitive,Resistant,B
Pnc_854,South Africa,2008-11-05,Resistant,Sensitive,A
Pnc_855,USA,2006-03-05,Sensitive,Sensitive,B
Pnc_856,South Africa,2006-09-01,Sensitive,Sensitive,A
Pnc_857,South Africa,2003-07-17,Sensitive,Sensitive,A
Pnc_858,South Africa,2013-03-03,Sensitive,Sensitive,A
Pnc_859,South Africa,2019-01-31,Resistant,Sensitive,A
Pnc_860,USA,2006-03-06,Sensitive,Sensitive,A
Pnc_861,USA,2008-03-28,Sensitive,Resistant,A
Pnc_862,USA,2001-08-24,Sensitive,Sensitive,A
Pnc_863,USA,2004-04-07,Sensitive,Resistant,B
Pnc_864,USA,2015-07-01,Sensitive,Sensitive,B
Pnc_865,South Africa,2020-05-04,Resistant,Sensitive,B
Pnc_866,USA,2014-10-15,Sensitive,Resistant,B
Pnc_867,USA,2011-11-27,Sensitive,Sensitive,B
Pnc_868,South Africa,2016-10-20,Resistant,Resistant,B
Pnc_869,South Africa,2013-03-04,Resistant,Sensitive,B
Pnc_870,South Africa,2015-05-04,Sensitive,Sensitive,A
Pnc_871,USA,2003-11-20,Sensitive,Sensitive,A
Pnc_872,South Africa,2016-08-16,Sensitive,Sensitive,B
Pnc_873,USA,2011-05-06,Sensitive,Sensitive,B
Pnc_874,USA,2013-11-01,Sensitive,Sensitive,B
Pnc_875,USA,2013-09-04,Sensitive,Resistant,B
Pnc_876,South Africa,2017-06-05,Sensitive,Sensitive,B
Pnc_877,USA,2018-05-23,Sensitive,Resistant,B
Pnc_878,South Africa,2010-05-09,Sensitive,Sensitive,B
Pnc_879,USA,2012-12-25,Sensitive,Sensitive,B
Pnc_880,South Africa,2008-01-25,Sensitive,Sensitive,B
Pnc_881,USA,2014-01-10,Sensitive,Resistant,B
Pnc_882,USA,2001-09-01,Sensitive,Sensitive,B
Pnc_883,South Africa,2016-11-06,Sensitive,Sensitive,A
Pnc_884,South Africa,2003-01-25,Resistant,Sensitive,A
Pnc_885,South Africa,2003-06-07,Sensitive,Sensitive,B
Pnc_886,South Africa,2003-12-31,Resistant,Sensitive,A
